,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,IN,1561586896,10.57,72.64,301.7,77,100,7.58
1,Barrow,CN,1561586897,29.3,113.14,297.1,80,100,0.37
2,Barrow,RU,1561586898,54.14,38.16,286.7,96,100,3.12
3,Barrow,CA,1561586900,47.66,-52.73,287.59,71,20,3.1
4,Barrow,IN,1561586901,15.34,74.49,299.3,89,100,2.55
5,Barrow,US,1561586902,32.0,-102.08,307.04,35,1,6.7
6,Barrow,RU,1561586903,56.95,90.69,286.5,90,65,1.59
7,Barrow,CA,1561586615,50.23,-63.6,289.15,59,90,4.1
8,Barrow,GB,1561586906,57.48,-4.23,286.15,87,0,3.6
9,Barrow,ES,1561586907,38.18,-1.13,299.26,78,0,3.1
10,Barrow,US,1561586862,19.71,-155.08,302.15,54,75,4.6
11,Barrow,ET,1561586910,8.96,38.73,290.15,67,75,2.1
12,Barrow,CA,1561586911,55.74,-97.86,288.15,77,90,2.6
13,Barrow,AU,1561586912,-31.43,152.91,287.59,93,90,3.6
14,Barrow,AU,1561586914,-33.21,138.6,284.3,66,0,5.55
15,Barrow,GL,1561586915,69.22,-51.1,279.15,81,20,4.6
16,Barrow,PT,1561586916,41.42,-6.55,293.7,59,0,0.81
17,Barrow,CA,1561586917,63.59,-135.9,293.15,28,40,4.1
18,Barrow,ZA,1561586918,-34.53,20.04,285.37,87,0,1.63
19,Barrow,EC,1561586920,-0.74,-90.35,301.15,58,20,10.3
20,Barrow,AR,1561586921,-54.81,-68.31,271.15,79,90,9.3
21,Barrow,CA,1561586922,52.21,-105.12,293.1,55,44,3.02
22,Barrow,CA,1561586923,43.74,-81.71,298.71,65,1,0.89
23,Barrow,PK,1561586925,35.85,71.79,275.4,68,0,3.69
24,Barrow,HN,1561586926,15.09,-87.97,302.59,88,90,10.8
25,Barrow,IE,1561586927,54.11,-9.15,287.15,76,0,5.7
26,Barrow,GL,1561586929,72.79,-56.15,274.4,87,0,5.35
27,Barrow,CL,1561586930,-53.16,-70.91,272.15,86,0,4.1
28,Barrow,PF,1561586931,-9.8,-139.03,300.3,75,0,7.62
29,Barrow,AU,1561586676,-16.92,145.77,295.15,73,90,6.7
30,Barrow,NZ,1561586933,-46.19,168.86,282.59,81,39,2.24
31,Barrow,CV,1561586934,14.9,-24.5,296.8,84,0,11.05
32,Barrow,RU,1561586936,55.87,72.2,282.1,79,100,5.23
33,Barrow,TL,1561586937,-8.93,125.41,291.4,75,2,2.83
34,Barrow,ZA,1561586938,-33.93,18.42,284.82,93,0,2.6
35,Barrow,AU,1561586939,-35.55,138.62,287.59,58,0,4.6
36,Barrow,NG,1561586941,7.1,3.65,296.4,96,100,2.08
37,Barrow,TH,1561586942,9.96,98.62,298.15,100,40,9.58
38,Barrow,AU,1561586943,-33.64,115.35,286.48,46,3,14.6
39,Barrow,MD,1561586944,46.52,28.78,293.15,72,0,0.5
40,Barrow,MU,1561586945,-20.01,57.66,296.15,94,75,5.7
41,Barrow,KI,1561586947,3.07,172.79,301.8,73,100,7.05
42,Barrow,AR,1561586948,-38.31,-60.23,284.2,33,98,9.02
